REF_DATE,GEO,NOC21_5,Title,VALUE
2021,Canada,52119,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",27520
2021,Canada,52120,Graphic designers and illustrators,83115
2021,Canada,52121,Interior designers and interior decorators,29400
2021,Canada,53100,"Registrars, restorers, interpreters and other occupations related to museum and art galleries",5390
2021,Canada,53110,Photographers,17315
2021,Canada,53111,"Motion pictures, broadcasting, photography and performing arts assistants and operators",12130
2021,Canada,53120,Dancers,8820
2021,Canada,53121,"Actors, comedians and circus performers",14750
2021,Canada,53122,"Painters, sculptors and other visual artists",17965
2021,Canada,53123,"Theatre, fashion, exhibit and other creative designers",13585
2021,Canada,53124,Artisans and craftspersons,16535
2021,Canada,53125,"Patternmakers - textile, leather and fur products",655
2021,Canada,53200,Athletes,3410
2021,Canada,53201,Coaches,14740
2021,Canada,53202,Sports officials and referees,2045
2021,Canada,54100,"Program leaders and instructors in recreation, sport and fitness",80860
2021,Canada,55109,Other performers,4230
2021,Canada,60010,Corporate sales managers,77795
2021,Canada,60020,Retail and wholesale trade managers,397075
2021,Canada,60030,Restaurant and food service managers,147890
2021,Canada,60031,Accommodation service managers,26625
2021,Canada,60040,Managers in customer and personal services,27140
2021,Canada,62010,Retail sales supervisors,61670
2021,Canada,62020,Food service supervisors,72945
2021,Canada,62021,Executive housekeepers,1870
2021,Canada,62022,"Accommodation, travel, tourism and related services supervisors",5935
2021,Canada,62023,Customer and information services supervisors,10580
2021,Canada,62024,Cleaning supervisors,13435
2021,Canada,62029,Other services supervisors,10960
2021,Canada,62100,Technical sales specialists - wholesale trade,51340
2021,Canada,62101,Retail and wholesale buyers,34745
2021,Canada,62200,Chefs,66825
2021,Canada,62201,Funeral directors and embalmers,5110
2021,Canada,62202,"Jewellers, jewellery and watch repairers and related occupations",3890
2021,Canada,63100,Insurance agents and brokers,79615
2021,Canada,63101,Real estate agents and salespersons,113070
2021,Canada,63102,Financial sales representatives,60165
2021,Canada,63200,Cooks,184200
2021,Canada,63201,Butchers - retail and wholesale,10760
2021,Canada,63202,Bakers,47045
2021,Canada,63210,Hairstylists and barbers,90430
2021,Canada,63211,"Estheticians, electrologists and related occupations",62525
2021,Canada,63220,Shoe repairers and shoemakers,10025
2021,Canada,63221,Upholsterers,3635
2021,Canada,64100,Retail salespersons and visual merchandisers,631835
2021,Canada,64101,Sales and account representatives - wholesale trade (non-technical),63990
2021,Canada,64200,"Tailors, dressmakers, furriers and milliners",17475
2021,Canada,64201,"Image, social and other personal consultants",2325
2021,Canada,64300,Maîtres d'hôtel and hosts/hostesses,17040
2021,Canada,64301,Bartenders,27145
2021,Canada,64310,Travel counsellors,17775
2021,Canada,64311,Pursers and flight attendants,11425
2021,Canada,64312,Airline ticket and service agents,10740
2021,Canada,64313,"Ground and water transport ticket agents, cargo service representatives and related clerks",1695
2021,Canada,64314,Hotel front desk clerks,16830
2021,Canada,64320,Tour and travel guides,2290
2021,Canada,64321,Casino workers,6710
2021,Canada,64322,Outdoor sport and recreational guides,2210
2021,Canada,64400,Customer services representatives - financial institutions,59155
2021,Canada,64401,Postal services representatives,7305
2021,Canada,64409,Other customer and information services representatives,248245
2021,Canada,64410,Security guards and related security service occupations,120255
2021,Canada,65100,Cashiers,359835
2021,Canada,65101,Service station attendants,8985
2021,Canada,65102,"Store shelf stockers, clerks and order fillers",229030
2021,Canada,65109,Other sales related occupations,29905
2021,Canada,65200,Food and beverage servers,121390
2021,Canada,65201,"Food counter attendants, kitchen helpers and related support occupations",393920
2021,Canada,65202,Meat cutters and fishmongers - retail and wholesale,6875
2021,Canada,65210,"Support occupations in accommodation, travel and facilities set-up services",3020
2021,Canada,65211,"Operators and attendants in amusement, recreation and sport",28970
2021,Canada,65220,Pet groomers and animal care workers,27785
2021,Canada,65229,Other support occupations in personal services,2745
2021,Canada,65310,Light duty cleaners,266085
2021,Canada,65311,Specialized cleaners,42690
